wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 09:00:00
TIMESTAMP_END = 2022-05-14 09:29:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,0.0005450562311199043
0.000152587890625,w,-0.002669052037277998
0.00030517578125,w,0.0012034350152448645
0.0006103515625,w,-0.00021089684878874347
0.001220703125,w,0.0007167147561036485
0.00244140625,w,-0.0006395837491677765
0.0048828125,w,-0.00011794196492233308
0.009765625,w,0.0002497227642314943
0.01953125,w,0.00020598741132133466
0.0390625,w,0.0004766661888788768
0.078125,w,0.0001144945774636843
0.15625,w,0.00014633272005203595
0.3125,w,-3.149458060397468e-05
0.625,w,2.6793175119089615e-05
1.25,w,-2.130613668542023e-06
2.5,w,-9.030644475211927e-07
5.0,w,2.218320282658771e-06
10.0,w,4.571779969085293e-07
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,413.3208911828678
0.000152587890625,co2,-1.9884321208990041
0.00030517578125,co2,-0.13326101362526963
0.0006103515625,co2,-0.13503135345067094
0.001220703125,co2,-0.20384212482051178
0.00244140625,co2,0.016197278125456627
0.0048828125,co2,0.03745579450237211
0.009765625,co2,-0.002348288657319478
0.01953125,co2,-0.010619717048535765
0.0390625,co2,-0.00907468791973117
0.078125,co2,0.004838585214158513
0.15625,co2,-0.0005873281922152443
0.3125,co2,-0.0006697834252119968
0.625,co2,-0.00038461294454406254
1.25,co2,-1.1303361255004389e-05
2.5,co2,5.758695321428048e-06
5.0,co2,-4.522832369734492e-06
10.0,co2,1.0786841497534184e-06
7.62939453125e-05,co2_qc,0.9997777777777778
0.000152587890625,co2_qc,0.9997777777777778
0.00030517578125,co2_qc,0.9997777777777778
0.0006103515625,co2_qc,0.9997777777777778
0.001220703125,co2_qc,0.9997777777777778
0.00244140625,co2_qc,0.9997777777777778
0.0048828125,co2_qc,0.9997777777777778
0.009765625,co2_qc,0.9997777777777778
0.01953125,co2_qc,0.9997777777777778
0.0390625,co2_qc,0.9997777777777778
0.078125,co2_qc,0.9997777777777778
0.15625,co2_qc,0.9997777777777778
0.3125,co2_qc,0.9997777777777778
0.625,co2_qc,0.9997777777777778
