wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 21:00:00
TIMESTAMP_END = 2022-05-14 21:29:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,0.00014859960717307453
0.000152587890625,w,0.0019101190586686362
0.00030517578125,w,0.0015744490555426869
0.0006103515625,w,-0.004407964650448998
0.001220703125,w,0.0001829817466634145
0.00244140625,w,0.0009994878620006432
0.0048828125,w,-0.00021964079449257506
0.009765625,w,-5.56584781735836e-05
0.01953125,w,-2.868837982988854e-05
0.0390625,w,-4.272544906857654e-05
0.078125,w,-5.3502526312791286e-05
0.15625,w,-5.049477663754931e-06
0.3125,w,-5.84896805687413e-06
0.625,w,7.695003641002317e-06
1.25,w,-3.3029675793660823e-06
2.5,w,1.3197842023248508e-06
5.0,w,-5.4252799297807634e-08
10.0,w,-4.043429631311822e-07
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,431.46343409191195
0.000152587890625,co2,8.059671970422311
0.00030517578125,co2,1.9283636833829834
0.0006103515625,co2,1.0574816437236447
0.001220703125,co2,-0.18291986321471979
0.00244140625,co2,-0.030663658907934873
0.0048828125,co2,-0.016586150880055744
0.009765625,co2,-0.016803470990146945
0.01953125,co2,-0.0069618993177524265
0.0390625,co2,-0.006383261902021758
0.078125,co2,-0.0012392765878039022
0.15625,co2,-0.001014179998893855
0.3125,co2,0.0006587154055363708
0.625,co2,-0.0005885656487480307
1.25,co2,-2.774277885872006e-05
2.5,co2,-8.175330562940044e-05
5.0,co2,2.481287623267761e-06
10.0,co2,7.625193110847376e-07
7.62939453125e-05,co2_qc,0.9998611111111111
0.000152587890625,co2_qc,0.9998611111111111
0.00030517578125,co2_qc,0.9998611111111111
0.0006103515625,co2_qc,0.9998611111111111
0.001220703125,co2_qc,0.9998611111111111
0.00244140625,co2_qc,0.9998611111111111
0.0048828125,co2_qc,0.9998611111111111
0.009765625,co2_qc,0.9998611111111111
0.01953125,co2_qc,0.9998611111111111
0.0390625,co2_qc,0.9998611111111111
0.078125,co2_qc,0.9998611111111111
0.15625,co2_qc,0.9998611111111111
0.3125,co2_qc,0.9998611111111111
0.625,co2_qc,0.9998611111111111
1.25,co2_qc,0.9998611111111111
2.5,co2_qc,0.9998611111111111
5.0,co2_qc,0.9998611111111111
10.0,co2_qc,0.9998611111111111
7.62939453125e-05,h2o,10.562632349793176
0.000152587890625,h2o,0.0798226685868614
0.00030517578125,h2o,0.05927426142421157
0.0006103515625,h2o,0.017000644105560972
0.001220703125,h2o,-0.0031563904443712913
0.00244140625,h2o,0.0005085492998859705
0.0048828125,h2o,-0.0010005445843785747
0.009765625,h2o,-0.0007891743468025773
0.01953125,h2o,-5.784068172118161e-06
0.0390625,h2o,-1.1344509772475517e-05
0.078125,h2o,-5.4887397295128746e-05
0.15625,h2o,-6.996865024509381e-06
0.3125,h2o,3.164259701169635e-06
0.625,h2o,-2.8797512832617933e-06
1.25,h2o,1.6509901382764845e-07
2.5,h2o,1.15762765364631e-07
5.0,h2o,-1.0946535060873767e-08
10.0,h2o,-4.960057517910807e-09
7.62939453125e-05,h2o_qc,0.9996111111111111
0.000152587890625,h2o_qc,0.9996111111111111
0.00030517578125,h2o_qc,0.9996111111111111
0.0006103515625,h2o_qc,0.9996111111111111
0.001220703125,h2o_qc,0.9996111111111111
0.00244140625,h2o_qc,0.9996111111111111
0.0048828125,h2o_qc,0.9996111111111111
0.009765625,h2o_qc,0.9996111111111111
0.01953125,h2o_qc,0.9996111111111111
0.0390625,h2o_qc,0.9996111111111111
0.078125,h2o_qc,0.9996111111111111
0.15625,h2o_qc,0.9996111111111111
0.3125,h2o_qc,0.9996111111111111
0.625,h2o_qc,0.9996111111111111
1.25,h2o_qc,0.9996111111111111
2.5,h2o_qc,0.9996111111111111
5.0,h2o_qc,0.9996111111111111
10.0,h2o_qc,0.9996111111111111
7.62939453125e-05,wco2,0.06442498032270438
0.000152587890625,wco2,0.01618309514676678
0.00030517578125,wco2,0.02533532311905054
0.0006103515625,wco2,-0.0019427231203360885
0.001220703125,wco2,0.02505020690365903
0.00244140625,wco2,-0.0767350459310015
0.0048828125,wco2,0.002717771449577116
0.009765625,wco2,0.012810655295061186
0.01953125,wco2,0.0015332628125078076
0.0390625,wco2,0.003635644952413452
0.078125,wco2,0.005275765631621999
0.15625,wco2,0.0021095527935404115
0.3125,wco2,0.006474590332894119
0.625,wco2,0.003872342617501024
1.25,wco2,0.0011509484881214516
2.5,wco2,0.0001067517252534064
5.0,wco2,-0.00013242183867621905
10.0,wco2,1.3362642084479984e-05
7.62939453125e-05,wh2o,0.0015667896697201676
0.000152587890625,wh2o,0.0001279676784426954
0.00030517578125,wh2o,0.0005129505817529893
0.0006103515625,wh2o,-0.0009348311699209007
