wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-15 01:00:00
TIMESTAMP_END = 2022-05-15 01:29:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,2.8264661153715132e-05
0.000152587890625,w,0.001407732282938072
0.00030517578125,w,0.0008470232990885878
0.0006103515625,w,-0.00555545446042737
0.001220703125,w,0.005156887915232697
0.00244140625,w,-0.0010375021236740983
0.0048828125,w,-0.0006980153457219176
0.009765625,w,6.251704513059564e-05
0.01953125,w,-3.091730929643777e-05
0.0390625,w,-9.778695450726204e-05
0.078125,w,-4.803946327397431e-05
0.15625,w,-3.823181091907239e-05
0.3125,w,3.119299601155149e-05
0.625,w,-2.9673093859383646e-05
1.25,w,1.0003354770848386e-05
2.5,w,-5.819652626892906e-06
5.0,w,-4.338554804638071e-06
10.0,w,4.492098756280427e-07
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,456.7556778752504
0.000152587890625,co2,2.3487007169249523
0.00030517578125,co2,2.2182300308770135
0.0006103515625,co2,0.7885325363607995
0.001220703125,co2,0.36553430941738224
0.00244140625,co2,-0.17412494738482454
0.0048828125,co2,-0.011662703807183433
0.009765625,co2,-0.0009640680240466016
0.01953125,co2,0.008942684417250948
0.0390625,co2,-0.0031523993023463313
0.078125,co2,-0.001280110706248758
0.15625,co2,0.00023408708757596727
0.3125,co2,0.0005626769007097525
0.625,co2,-0.0004751344495154678
1.25,co2,-1.0575843820148371e-05
2.5,co2,-2.1753879403735335e-05
5.0,co2,-6.132076012495267e-06
10.0,co2,1.9030371343240636e-06
7.62939453125e-05,co2_qc,0.9997777777777778
0.000152587890625,co2_qc,0.9997777777777778
0.00030517578125,co2_qc,0.9997777777777778
0.0006103515625,co2_qc,0.9997777777777778
0.001220703125,co2_qc,0.9997777777777778
0.00244140625,co2_qc,0.9997777777777778
0.0048828125,co2_qc,0.9997777777777778
0.009765625,co2_qc,0.9997777777777778
0.01953125,co2_qc,0.9997777777777778
0.0390625,co2_qc,0.9997777777777778
0.078125,co2_qc,0.9997777777777778
0.15625,co2_qc,0.9997777777777778
0.3125,co2_qc,0.9997777777777778
0.625,co2_qc,0.9997777777777778
1.25,co2_qc,0.9997777777777778
2.5,co2_qc,0.9997777777777778
5.0,co2_qc,0.9997777777777778
10.0,co2_qc,0.9997777777777778
7.62939453125e-05,h2o,10.259484903777077
0.000152587890625,h2o,-0.007381855834841055
0.00030517578125,h2o,-0.002778011930887209
0.0006103515625,h2o,0.0052159260817356175
0.001220703125,h2o,0.001786960723511709
0.00244140625,h2o,-0.0006326952405267755
0.0048828125,h2o,0.00034965390463976133
0.009765625,h2o,2.970745222175908e-05
0.01953125,h2o,7.288178916978025e-05
0.0390625,h2o,-8.549656782801197e-06
0.078125,h2o,1.041100616920872e-06
0.15625,h2o,1.6806400094171777e-06
0.3125,h2o,-3.2180918962146216e-07
