wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 16:30:00
TIMESTAMP_END = 2022-05-14 16:59:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,0.00014686019889901595
0.000152587890625,w,-0.0038333579992547487
0.00030517578125,w,-4.022246517010747e-05
0.0006103515625,w,0.0005146751856512767
0.001220703125,w,0.0026017018600311926
0.00244140625,w,0.0016070750620980196
0.0048828125,w,-0.0011451803689998363
0.009765625,w,-0.0002800124216762335
0.01953125,w,0.0006333189958456494
0.0390625,w,-0.00022181083677618967
0.078125,w,0.00019117812104345016
0.15625,w,-0.00011355263374494704
0.3125,w,4.393472752812705e-05
0.625,w,-8.858075693198425e-05
1.25,w,7.719755189971349e-06
2.5,w,-2.8628140162724605e-05
5.0,w,-4.5812572077912e-06
10.0,w,-4.453886552079231e-07
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,399.5521333861783
0.000152587890625,co2,-1.645522585906765
0.00030517578125,co2,0.5241313093619531
0.0006103515625,co2,0.16843690152644536
0.001220703125,co2,-0.01767930939789539
0.00244140625,co2,-0.19529157671659553
0.0048828125,co2,0.04627314873042509
0.009765625,co2,0.02912289360427987
0.01953125,co2,0.0073169658214805085
0.0390625,co2,0.013352947892282968
0.078125,co2,-0.004245174478896119
0.15625,co2,0.002233850642434513
0.3125,co2,-0.0009800800747352609
0.625,co2,0.0001370654559385126
1.25,co2,-2.6594997590656464e-05
2.5,co2,2.1477546783345976e-06
5.0,co2,-2.135385142573902e-06
10.0,co2,2.825905472587974e-07
7.62939453125e-05,co2_qc,0.9997777777777778
0.000152587890625,co2_qc,0.9997777777777778
0.00030517578125,co2_qc,0.9997777777777778
0.0006103515625,co2_qc,0.9997777777777778
0.001220703125,co2_qc,0.9997777777777778
0.00244140625,co2_qc,0.9997777777777778
0.0048828125,co2_qc,0.9997777777777778
0.009765625,co2_qc,0.9997777777777778
0.01953125,co2_qc,0.9997777777777778
0.0390625,co2_qc,0.9997777777777778
0.078125,co2_qc,0.9997777777777778
0.15625,co2_qc,0.9997777777777778
0.3125,co2_qc,0.9997777777777778
0.625,co2_qc,0.9997777777777778
1.25,co2_qc,0.9997777777777778
2.5,co2_qc,0.9997777777777778
5.0,co2_qc,0.9997777777777778
10.0,co2_qc,0.9997777777777778
7.62939453125e-05,h2o,10.002887250389211
0.000152587890625,h2o,0.08044056230185011
0.00030517578125,h2o,-0.018338458912597555
0.0006103515625,h2o,-0.026308865776726118
0.001220703125,h2o,-0.0018861986231693125
0.00244140625,h2o,0.04337312150603813
0.0048828125,h2o,-0.01151253834336105
0.009765625,h2o,-0.0035474183780178983
0.01953125,h2o,-0.001192695996714101
0.0390625,h2o,-0.002003034550944714
0.078125,h2o,0.00034341653868070137
0.15625,h2o,-0.0003987183488237011
0.3125,h2o,0.00015031708869778004
0.625,h2o,-1.079915502058538e-05
1.25,h2o,1.854061661822285e-06
2.5,h2o,-8.779889828758215e-07
5.0,h2o,1.2952287855979293e-07
10.0,h2o,-9.36438045398489e-09
7.62939453125e-05,h2o_qc,0.99975
0.000152587890625,h2o_qc,0.99975
0.00030517578125,h2o_qc,0.99975
0.0006103515625,h2o_qc,0.99975
0.001220703125,h2o_qc,0.99975
0.00244140625,h2o_qc,0.99975
0.0048828125,h2o_qc,0.99975
0.009765625,h2o_qc,0.99975
0.01953125,h2o_qc,0.99975
0.0390625,h2o_qc,0.99975
0.078125,h2o_qc,0.99975
0.15625,h2o_qc,0.99975
0.3125,h2o_qc,0.99975
0.625,h2o_qc,0.99975
1.25,h2o_qc,0.99975
2.5,h2o_qc,0.99975
5.0,h2o_qc,0.99975
10.0,h2o_qc,0.99975
7.62939453125e-05,wco2,0.058779381535458496
0.000152587890625,wco2,0.006537315291150238
0.00030517578125,wco2,0.0011938250448790331
0.0006103515625,wco2,0.0001540056429798059
0.001220703125,wco2,-0.005953589560176186
0.00244140625,wco2,-0.01043915795602152
0.0048828125,wco2,-0.0007277070056106033
0.009765625,wco2,-0.05214045280563673
0.01953125,wco2,-0.047003258104101664
0.0390625,wco2,-0.08347810365560952
0.078125,wco2,-0.05594102522384116
0.15625,wco2,-0.0601467945873577
0.3125,wco2,-0.05013725523869166
0.625,wco2,-0.022602423111511647
1.25,wco2,0.0019748671852253567
2.5,wco2,0.002539907444542776
5.0,wco2,-0.0004766941643289448
10.0,wco2,0.00012217060629980548
7.62939453125e-05,wh2o,0.0014659393425093677
0.000152587890625,wh2o,-0.00031655646086453166
0.00030517578125,wh2o,-0.00012729507555433417
0.0006103515625,wh2o,0.00029405003244943335
0.001220703125,wh2o,0.0012387882080845665
0.00244140625,wh2o,0.003046102881364024
0.0048828125,wh2o,-0.0001888855819796365
0.009765625,wh2o,0.008902590149904672
0.01953125,wh2o,0.008479552216838559
0.0390625,wh2o,0.01313202925646791
0.078125,wh2o,0.008544683026483962
0.15625,wh2o,0.008107296128527872
0.3125,wh2o,0.005554115703414306
0.625,wh2o,0.0025716481200576046
1.25,wh2o,6.73514947230681e-05
2.5,wh2o,-0.00012680054722979825
5.0,wh2o,2.068228270598773e-05
10.0,wh2o,-1.3042899330540756e-06
7.62939453125e-05,wco2-wh2o+,0.0
0.000152587890625,wco2-wh2o+,0.0
0.00030517578125,wco2-wh2o+,-1.1410894116811972e-05
0.0006103515625,wco2-wh2o+,-0.00046939300604863346
0.001220703125,wco2-wh2o+,-0.006513088536555096
0.00244140625,wco2-wh2o+,-0.018508054425743315
0.0048828125,wco2-wh2o+,-0.006872177488987976
0.009765625,wco2-wh2o+,-0.054773919387214536
0.01953125,wco2-wh2o+,-0.05550968306136946
0.0390625,wco2-wh2o+,-0.09314487636702705
0.078125,wco2-wh2o+,-0.06800205120216424
