wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 11:00:00
TIMESTAMP_END = 2022-05-14 11:29:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,3.42888914400773e-05
0.000152587890625,w,0.002041310914290319
0.00030517578125,w,0.0016470664409190473
0.0006103515625,w,-0.0022725790632966
0.001220703125,w,0.0018283447669530857
0.00244140625,w,-0.004086318892619352
0.0048828125,w,-0.0005920169508494877
0.009765625,w,0.0005170392549642826
0.01953125,w,0.0006152084995576154
0.0390625,w,0.00012962929904619804
0.078125,w,0.0002626951080925529
0.15625,w,-4.5280430659795274e-05
0.3125,w,-6.138002470905255e-05
0.625,w,-2.2655324876245557e-05
1.25,w,7.514443946102315e-06
2.5,w,-4.077351269405649e-06
5.0,w,2.6857893740579523e-06
10.0,w,-1.3648385324487695e-06
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,402.19595081567263
0.000152587890625,co2,0.20014265963452765
0.00030517578125,co2,1.1423009577114989
0.0006103515625,co2,0.01611093084898423
0.001220703125,co2,-0.1166590623508896
0.00244140625,co2,0.1678963785760678
0.0048828125,co2,-0.02057643427853738
0.009765625,co2,0.01982398795688941
0.01953125,co2,-0.020995631018515638
0.0390625,co2,0.0014414772279118314
0.078125,co2,-3.65878922404212e-05
0.15625,co2,0.0001950427498045759
0.3125,co2,0.0007440404851433254
0.625,co2,7.066830716276312e-05
1.25,co2,1.3568473164141269e-06
2.5,co2,1.3482167675971348e-05
5.0,co2,-4.017575615875145e-07
10.0,co2,1.2585582101488123e-07
7.62939453125e-05,co2_qc,0.9997777777777778
0.000152587890625,co2_qc,0.9997777777777778
0.00030517578125,co2_qc,0.9997777777777778
0.0006103515625,co2_qc,0.9997777777777778
0.001220703125,co2_qc,0.9997777777777778
0.00244140625,co2_qc,0.9997777777777778
0.0048828125,co2_qc,0.9997777777777778
0.009765625,co2_qc,0.9997777777777778
0.01953125,co2_qc,0.9997777777777778
0.0390625,co2_qc,0.9997777777777778
0.078125,co2_qc,0.9997777777777778
0.15625,co2_qc,0.9997777777777778
0.3125,co2_qc,0.9997777777777778
0.625,co2_qc,0.9997777777777778
1.25,co2_qc,0.9997777777777778
2.5,co2_qc,0.9997777777777778
5.0,co2_qc,0.9997777777777778
10.0,co2_qc,0.9997777777777778
7.62939453125e-05,h2o,10.808168636988857
0.000152587890625,h2o,-0.08415962599771434
0.00030517578125,h2o,-0.1358324293736808
0.0006103515625,h2o,-0.001807127946073372
0.001220703125,h2o,-0.021509670401382734
0.00244140625,h2o,-0.0290587910944926
0.0048828125,h2o,0.005119312675347959
0.009765625,h2o,-0.004904368544237267
0.01953125,h2o,0.0027305664870427336
0.0390625,h2o,-0.00027539271329411747
0.078125,h2o,4.297439935077252e-06
0.15625,h2o,-1.990674823416627e-05
0.3125,h2o,-1.0714016148894797e-05
0.625,h2o,-3.4602525271177062e-06
1.25,h2o,5.295740543364022e-07
2.5,h2o,-4.933753216590929e-07
5.0,h2o,2.9788915431535075e-08
10.0,h2o,-2.0372115379609126e-09
7.62939453125e-05,h2o_qc,0.9996944444444444
0.000152587890625,h2o_qc,0.9996944444444444
0.00030517578125,h2o_qc,0.9996944444444444
0.0006103515625,h2o_qc,0.9996944444444444
0.001220703125,h2o_qc,0.9996944444444444
0.00244140625,h2o_qc,0.9996944444444444
0.0048828125,h2o_qc,0.9996944444444444
0.009765625,h2o_qc,0.9996944444444444
0.01953125,h2o_qc,0.9996944444444444
0.0390625,h2o_qc,0.9996944444444444
0.078125,h2o_qc,0.9996944444444444
0.15625,h2o_qc,0.9996944444444444
0.3125,h2o_qc,0.9996944444444444
0.625,h2o_qc,0.9996944444444444
1.25,h2o_qc,0.9996944444444444
2.5,h2o_qc,0.9996944444444444
5.0,h2o_qc,0.9996944444444444
10.0,h2o_qc,0.9996944444444444
7.62939453125e-05,wco2,0.013767279237661143
0.000152587890625,wco2,0.00048403531656823073
0.00030517578125,wco2,-0.0029481294718519263
0.0006103515625,wco2,0.0012065298618458022
0.001220703125,wco2,-0.005454454894181839
0.00244140625,wco2,-0.03432671890247096
0.0048828125,wco2,-0.01621160377457372
0.009765625,wco2,-0.05552469221545286
0.01953125,wco2,-0.048663332311557915
0.0390625,wco2,-0.12026171277780287
0.078125,wco2,-0.1015885058903577
0.15625,wco2,-0.09067991784576496
0.3125,wco2,-0.037617085960828564
0.625,wco2,-0.026822249265885882
1.25,wco2,-0.0052400891260019275
2.5,wco2,0.001087757830512049
5.0,wco2,0.00016030887789409331
10.0,wco2,0.00016451390416590664
7.62939453125e-05,wh2o,0.00037132487374377175
0.000152587890625,wh2o,-0.000178379288986406
0.00030517578125,wh2o,5.0577207670884585e-05
0.0006103515625,wh2o,-0.0009289034507426715
0.001220703125,wh2o,0.0009877855253491526
0.00244140625,wh2o,0.005197768725846962
0.0048828125,wh2o,0.001821486364305259
0.009765625,wh2o,0.008553499506861939
0.01953125,wh2o,0.007460863782509019
0.0390625,wh2o,0.018056205962570786
0.078125,wh2o,0.012039756391258217
0.15625,wh2o,0.009967307754862507
0.3125,wh2o,0.0035493006055777846
0.625,wh2o,0.0017380764305056596
1.25,wh2o,0.00022740456925170063
2.5,wh2o,-2.344459996110995e-06
5.0,wh2o,-1.6579162541034123e-06
10.0,wh2o,1.9839370795603306e-06
7.62939453125e-05,wco2-wh2o+,0.0
0.000152587890625,wco2-wh2o+,0.0
0.00030517578125,wco2-wh2o+,-0.004294199264453712
0.0006103515625,wco2-wh2o+,-0.00163396368495827
0.001220703125,wco2-wh2o+,-0.005361663968375659
0.00244140625,wco2-wh2o+,-0.03484519926690605
0.0048828125,wco2-wh2o+,-0.01899639025193584
0.009765625,wco2-wh2o+,-0.05937924282855378
0.01953125,wco2-wh2o+,-0.05220127633858589
0.0390625,wco2-wh2o+,-0.12529717241145832
0.078125,wco2-wh2o+,-0.11155396786530579
0.15625,wco2-wh2o+,-0.10972699481882495
0.3125,wco2-wh2o+,-0.0538009744886571
0.625,wco2-wh2o+,-0.04144350411960886
1.25,wco2-wh2o+,-0.019836264735234727
2.5,wco2-wh2o+,-0.007529081569277047
5.0,wco2-wh2o+,-0.001538855737571781
10.0,wco2-wh2o+,-0.0007322556804365947
7.62939453125e-05,wco2+wh2o+,0.01923728193896531
0.000152587890625,wco2+wh2o+,0.0
0.00030517578125,wco2+wh2o+,0.0
0.0006103515625,wco2+wh2o+,0.0
0.001220703125,wco2+wh2o+,0.0009091393745068067
0.00244140625,wco2+wh2o+,0.00014573865876529906
0.0048828125,wco2+wh2o+,7.752333245072802e-06
0.009765625,wco2+wh2o+,0.00044122307098218825
0.01953125,wco2+wh2o+,0.0001484109221114089
0.0390625,wco2+wh2o+,0.0004300233696617327
0.078125,wco2+wh2o+,0.0009805185460699316
0.15625,wco2+wh2o+,0.001568262136015386
0.3125,wco2+wh2o+,0.001626447173486265
0.625,wco2+wh2o+,0.0007180113067152938
1.25,wco2+wh2o+,0.00044635189757805333
2.5,wco2+wh2o+,0.0017508895994605598
5.0,wco2+wh2o+,0.0028432825416029187
10.0,wco2+wh2o+,0.0009727008527510979
7.62939453125e-05,wco2-wh2o-,-0.005470002701304169
0.000152587890625,wco2-wh2o-,0.0
0.00030517578125,wco2-wh2o-,-0.00019213818126511594
