wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 10:30:00
TIMESTAMP_END = 2022-05-14 10:59:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,9.662539394863877e-05
0.000152587890625,w,0.0023295789783486028
0.00030517578125,w,0.0003901478934992316
0.0006103515625,w,-0.0024604862580206595
0.001220703125,w,-0.004869318322322457
0.00244140625,w,0.002712155940285237
0.0048828125,w,0.001773187265317703
0.009765625,w,0.0002599590833363556
0.01953125,w,-0.0003783246681633951
0.0390625,w,0.00017257408535075776
0.078125,w,5.5986757225813664e-05
0.15625,w,-6.909150502674225e-05
0.3125,w,5.4696536988631336e-05
0.625,w,-4.732709395697492e-05
1.25,w,-9.635971127616604e-06
2.5,w,-5.331962130257785e-06
5.0,w,-2.58641294924846e-06
10.0,w,1.5397036787596613e-06
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,401.49720368829065
0.000152587890625,co2,1.1045517354557242
0.00030517578125,co2,-1.2068948427940687
0.0006103515625,co2,0.04348940590042582
0.001220703125,co2,0.03502728982508131
0.00244140625,co2,-0.18736971490459092
0.0048828125,co2,-0.09108537610873554
0.009765625,co2,0.010089557316214035
0.01953125,co2,0.02595109717854265
0.0390625,co2,-0.00838398702654551
0.078125,co2,-0.000901897560482715
0.15625,co2,0.00017695589514759682
0.3125,co2,-0.0009053732380083207
0.625,co2,-0.00039534409857660836
1.25,co2,6.644851403187815e-05
2.5,co2,-1.2255308610035747e-06
5.0,co2,-3.518776000310068e-06
10.0,co2,7.678040875028793e-07
7.62939453125e-05,co2_qc,0.9997777777777778
0.000152587890625,co2_qc,0.9997777777777778
0.00030517578125,co2_qc,0.9997777777777778
0.0006103515625,co2_qc,0.9997777777777778
0.001220703125,co2_qc,0.9997777777777778
0.00244140625,co2_qc,0.9997777777777778
0.0048828125,co2_qc,0.9997777777777778
0.009765625,co2_qc,0.9997777777777778
0.01953125,co2_qc,0.9997777777777778
0.0390625,co2_qc,0.9997777777777778
0.078125,co2_qc,0.9997777777777778
0.15625,co2_qc,0.9997777777777778
0.3125,co2_qc,0.9997777777777778
0.625,co2_qc,0.9997777777777778
1.25,co2_qc,0.9997777777777778
2.5,co2_qc,0.9997777777777778
5.0,co2_qc,0.9997777777777778
10.0,co2_qc,0.9997777777777778
7.62939453125e-05,h2o,10.779666406885381
0.000152587890625,h2o,-0.00033220760521105217
0.00030517578125,h2o,0.18544787902302973
0.0006103515625,h2o,0.004048322351858335
0.001220703125,h2o,0.02085373818252798
0.00244140625,h2o,0.032119506270681136
0.0048828125,h2o,0.008806838003061252
0.009765625,h2o,9.389529231125343e-05
0.01953125,h2o,-0.0035810244200561126
0.0390625,h2o,0.0014665389759521493
0.078125,h2o,0.0002007991471618211
0.15625,h2o,-4.478006429626216e-05
0.3125,h2o,5.8839778691179697e-05
0.625,h2o,1.5122529847306252e-05
1.25,h2o,-1.917496191303784e-06
2.5,h2o,4.965685821841869e-07
5.0,h2o,-1.4148769492553536e-09
10.0,h2o,1.5374029129908773e-08
7.62939453125e-05,h2o_qc,0.9995
0.000152587890625,h2o_qc,0.9995
0.00030517578125,h2o_qc,0.9995
0.0006103515625,h2o_qc,0.9995
0.001220703125,h2o_qc,0.9995
0.00244140625,h2o_qc,0.9995
0.0048828125,h2o_qc,0.9995
0.009765625,h2o_qc,0.9995
0.01953125,h2o_qc,0.9995
0.0390625,h2o_qc,0.9995
0.078125,h2o_qc,0.9995
0.15625,h2o_qc,0.9995
0.3125,h2o_qc,0.9995
0.625,h2o_qc,0.9995
1.25,h2o_qc,0.9995
2.5,h2o_qc,0.9995
5.0,h2o_qc,0.9995
10.0,h2o_qc,0.9995
7.62939453125e-05,wco2,0.0387950101201165
0.000152587890625,wco2,0.002375435929151649
0.00030517578125,wco2,0.000514290190295063
0.0006103515625,wco2,-0.00809542704490214
0.001220703125,wco2,-0.0020781626396214727
0.00244140625,wco2,-0.04684137027073816
0.0048828125,wco2,-0.02423838212111614
0.009765625,wco2,-0.07041507911202789
0.01953125,wco2,-0.04266470910503914
0.0390625,wco2,-0.09483652303499242
0.078125,wco2,-0.09132988102138975
0.15625,wco2,-0.08448629915085454
0.3125,wco2,-0.07281305309998552
0.625,wco2,-0.022012129829803113
1.25,wco2,-0.004018749813281348
2.5,wco2,0.0030306781530814466
5.0,wco2,-0.0011455322665989277
10.0,wco2,-9.171733774478723e-05
7.62939453125e-05,wh2o,0.001041600134331247
0.000152587890625,wh2o,-2.9288407916616404e-05
0.00030517578125,wh2o,-8.525977731798539e-05
0.0006103515625,wh2o,0.0004727949378872138
0.001220703125,wh2o,0.0018831443628551448
0.00244140625,wh2o,0.007190441488646515
0.0048828125,wh2o,0.002480098808805266
0.009765625,wh2o,0.009810455027396083
0.01953125,wh2o,0.006290029621672412
0.0390625,wh2o,0.011786789262364114
0.078125,wh2o,0.009367868605236472
0.15625,wh2o,0.0069525908920037
0.3125,wh2o,0.004810622294275876
0.625,wh2o,0.0005128737672237979
1.25,wh2o,-0.00015106674980150587
2.5,wh2o,1.7734867020218817e-05
5.0,wh2o,2.233210456286632e-06
10.0,wh2o,-2.0589077670721283e-07
7.62939453125e-05,wco2-wh2o+,0.0
0.000152587890625,wco2-wh2o+,0.0
0.00030517578125,wco2-wh2o+,-0.0012635752528787764
0.0006103515625,wco2-wh2o+,-0.00844644408867504
0.001220703125,wco2-wh2o+,-0.004314109446471747
0.00244140625,wco2-wh2o+,-0.04746552348733116
0.0048828125,wco2-wh2o+,-0.03344013187405476
0.009765625,wco2-wh2o+,-0.07503661994424847
0.01953125,wco2-wh2o+,-0.0649337256768028
0.0390625,wco2-wh2o+,-0.10591456657635724
0.078125,wco2-wh2o+,-0.10957138583455239
0.15625,wco2-wh2o+,-0.10295988706049307
0.3125,wco2-wh2o+,-0.08946793513490484
0.625,wco2-wh2o+,-0.037427836188026524
1.25,wco2-wh2o+,-0.010355436170140214
2.5,wco2-wh2o+,-0.0034346098353437906
5.0,wco2-wh2o+,-0.0028516932332407936
10.0,wco2-wh2o+,-0.0009311133392629038
7.62939453125e-05,wco2+wh2o+,0.0387950101201165
0.000152587890625,wco2+wh2o+,0.0011558258997668455
0.00030517578125,wco2+wh2o+,0.0
0.0006103515625,wco2+wh2o+,0.0
0.001220703125,wco2+wh2o+,0.0019976672930481104
0.00244140625,wco2+wh2o+,2.0767320374994034e-05
0.0048828125,wco2+wh2o+,1.1816570311925196e-05
0.009765625,wco2+wh2o+,2.2244615417534827e-05
0.01953125,wco2+wh2o+,0.00023955084273834083
0.0390625,wco2+wh2o+,0.0004683010844055582
0.078125,wco2+wh2o+,0.0003020081448888475
0.15625,wco2+wh2o+,0.0005030282202775789
0.3125,wco2+wh2o+,0.0003575699231197111
0.625,wco2+wh2o+,0.0018887628108073247
1.25,wco2+wh2o+,0.008640387807372911
2.5,wco2+wh2o+,0.008441709965465557
5.0,wco2+wh2o+,0.002191462599871525
10.0,wco2+wh2o+,0.0008385525215036756
7.62939453125e-05,wco2-wh2o-,0.0
0.000152587890625,wco2-wh2o-,0.0
0.00030517578125,wco2-wh2o-,0.0
0.0006103515625,wco2-wh2o-,-0.00022716222788419217
0.001220703125,wco2-wh2o-,-3.6520398377211796e-05
0.00244140625,wco2-wh2o-,-0.00015328619361489873
0.0048828125,wco2-wh2o-,-0.0003711847305927446
0.009765625,wco2-wh2o-,-8.474552489417878e-05
0.01953125,wco2-wh2o-,-0.0001463560201009584
0.0390625,wco2-wh2o-,-0.0004856130192898168
0.078125,wco2-wh2o-,-0.0012212332644716667
0.15625,wco2-wh2o-,-0.0009581490398194489
0.3125,wco2-wh2o-,-0.0007182148049887688
0.625,wco2-wh2o-,-0.004056380231905869
1.25,wco2-wh2o-,-0.011802068151194837
2.5,wco2-wh2o-,-0.006238709829744249
5.0,wco2-wh2o-,-0.0027820834085992598
10.0,wco2-wh2o-,-0.0008805054265398354
7.62939453125e-05,wco2+wh2o-,0.0
0.000152587890625,wco2+wh2o-,0.0012196100293848035
0.00030517578125,wco2+wh2o-,0.0017778654431738394
0.0006103515625,wco2+wh2o-,0.0005781792716570917
0.001220703125,wco2+wh2o-,0.0002747999121793758
0.00244140625,wco2+wh2o-,0.0007566720898329037
0.0048828125,wco2+wh2o-,0.009561117913219437
0.009765625,wco2+wh2o-,0.004684041741697232
0.01953125,wco2+wh2o-,0.022175821749126284
0.0390625,wco2+wh2o-,0.01109535547624907
0.078125,wco2+wh2o-,0.019160729932745466
0.15625,wco2+wh2o-,0.018928708729180396
0.3125,wco2+wh2o-,0.01701552691678838
0.625,wco2+wh2o-,0.017583323779321952
1.25,wco2+wh2o-,0.00949836670068079
2.5,wco2+wh2o-,0.004262287852703928
5.0,wco2+wh2o-,0.0022967817753696
10.0,wco2+wh2o-,0.0008813489065542765
