wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 08:00:00
TIMESTAMP_END = 2022-05-14 08:29:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,0.000725061438577457
0.000152587890625,w,0.0022469411349345905
0.00030517578125,w,0.008993451639968545
0.0006103515625,w,-0.0019029769908260627
0.001220703125,w,-0.007903020061631
0.00244140625,w,-0.0006521628339491621
0.0048828125,w,-0.0024136058869428
0.009765625,w,0.0002709978309438352
0.01953125,w,0.0003969472160451771
0.0390625,w,0.00010256003203560169
0.078125,w,-3.245058216688007e-05
0.15625,w,0.00013400864674318718
0.3125,w,5.0181965671866804e-05
0.625,w,-2.5958293399617587e-05
1.25,w,6.287651071066254e-06
2.5,w,6.104927770750382e-06
5.0,w,-2.155709903735595e-06
10.0,w,-5.119544473008454e-07
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,431.1948069089626
0.000152587890625,co2,-0.8618772892495292
0.00030517578125,co2,2.2233186111107544
0.0006103515625,co2,0.871206370740077
0.001220703125,co2,0.07708144806240495
0.00244140625,co2,0.029577849734798337
0.0048828125,co2,0.09782748064534898
0.009765625,co2,-0.0290672043980077
0.01953125,co2,-0.012245027952945893
0.0390625,co2,-0.008564195173001717
0.078125,co2,0.0012071892956904608
0.15625,co2,-0.0016598802166237405
0.3125,co2,-0.0004692843927652491
0.625,co2,0.00023598206894618294
1.25,co2,4.885231827495013e-05
2.5,co2,2.359860536570538e-05
5.0,co2,2.3818428761011437e-06
10.0,co2,-2.6732530888185726e-06
7.62939453125e-05,co2_qc,0.9997777777777778
0.000152587890625,co2_qc,0.9997777777777778
0.00030517578125,co2_qc,0.9997777777777778
0.0006103515625,co2_qc,0.9997777777777778
0.001220703125,co2_qc,0.9997777777777778
0.00244140625,co2_qc,0.9997777777777778
0.0048828125,co2_qc,0.9997777777777778
0.009765625,co2_qc,0.9997777777777778
0.01953125,co2_qc,0.9997777777777778
0.0390625,co2_qc,0.9997777777777778
0.078125,co2_qc,0.9997777777777778
0.15625,co2_qc,0.9997777777777778
0.3125,co2_qc,0.9997777777777778
0.625,co2_qc,0.9997777777777778
1.25,co2_qc,0.9997777777777778
2.5,co2_qc,0.9997777777777778
5.0,co2_qc,0.9997777777777778
10.0,co2_qc,0.9997777777777778
7.62939453125e-05,h2o,10.533324224545048
0.000152587890625,h2o,0.36312274296401575
0.00030517578125,h2o,0.0422998558527893
0.0006103515625,h2o,0.001344498320633741
0.001220703125,h2o,-0.017863025492307335
0.00244140625,h2o,-0.002673428519523077
0.0048828125,h2o,-0.0009115281964032084
0.009765625,h2o,0.0027704391321303977
