wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-15 00:00:00
TIMESTAMP_END = 2022-05-15 00:29:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,-0.00030992312520804227
0.000152587890625,w,-0.005759908100967375
0.00030517578125,w,-0.004527901183231892
0.0006103515625,w,0.010300349414087605
0.001220703125,w,0.00051342161235933
0.00244140625,w,-0.0005145241334487732
0.0048828125,w,-6.853954465153808e-05
0.009765625,w,0.000168904377959595
0.01953125,w,0.00011986285662898522
0.0390625,w,4.065809926624195e-06
0.078125,w,7.414364720521245e-05
0.15625,w,1.478515507588349e-06
0.3125,w,4.4490193927903474e-07
0.625,w,1.3961934565007632e-06
1.25,w,-2.4588215162001117e-06
2.5,w,-5.38168004380907e-06
5.0,w,-7.524027798321468e-07
10.0,w,6.102596007099019e-07
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,456.407707313031
0.000152587890625,co2,-5.285458461093129
0.00030517578125,co2,0.31107251220529347
0.0006103515625,co2,-1.160545888603163
0.001220703125,co2,-0.1346876287793348
0.00244140625,co2,-0.06618333640755719
0.0048828125,co2,-0.007440232437374547
0.009765625,co2,-0.0031508936840375524
0.01953125,co2,-0.000259211214856295
0.0390625,co2,-0.0033466644955779026
0.078125,co2,-0.00011717548033350707
0.15625,co2,0.0003000551355314859
0.3125,co2,3.284715357531944e-05
0.625,co2,0.0005503163623269626
1.25,co2,2.1066058505553688e-05
2.5,co2,-3.6727117778933364e-05
5.0,co2,1.39789022338333e-06
10.0,co2,-8.303885193656178e-07
7.62939453125e-05,co2_qc,0.9997777777777778
0.000152587890625,co2_qc,0.9997777777777778
0.00030517578125,co2_qc,0.9997777777777778
0.0006103515625,co2_qc,0.9997777777777778
0.001220703125,co2_qc,0.9997777777777778
0.00244140625,co2_qc,0.9997777777777778
0.0048828125,co2_qc,0.9997777777777778
0.009765625,co2_qc,0.9997777777777778
0.01953125,co2_qc,0.9997777777777778
0.0390625,co2_qc,0.9997777777777778
0.078125,co2_qc,0.9997777777777778
0.15625,co2_qc,0.9997777777777778
0.3125,co2_qc,0.9997777777777778
0.625,co2_qc,0.9997777777777778
1.25,co2_qc,0.9997777777777778
2.5,co2_qc,0.9997777777777778
5.0,co2_qc,0.9997777777777778
10.0,co2_qc,0.9997777777777778
7.62939453125e-05,h2o,10.266079287295002
0.000152587890625,h2o,0.034079461934377685
0.00030517578125,h2o,0.03401435552565224
0.0006103515625,h2o,-0.007401560251432086
0.001220703125,h2o,0.00620947770738946
0.00244140625,h2o,-0.00024072076327063153
0.0048828125,h2o,0.00011548248556320178
0.009765625,h2o,7.9283599362427e-06
0.01953125,h2o,-1.4376244125876489e-05
0.0390625,h2o,1.9341094322906958e-05
0.078125,h2o,-7.50649671552012e-06
0.15625,h2o,-1.470610830282645e-06
0.3125,h2o,7.992031581630441e-07
0.625,h2o,-5.934350500097403e-07
1.25,h2o,-1.6182971804623976e-07
