wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 19:00:00
TIMESTAMP_END = 2022-05-14 19:29:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,0.00030798934705691727
0.000152587890625,w,-0.005664975715864209
0.00030517578125,w,0.003906209551401682
0.0006103515625,w,0.0037520590666191363
0.001220703125,w,-0.00027993607123190384
0.00244140625,w,-0.0003845773469152259
0.0048828125,w,-0.0008365413486831303
0.009765625,w,8.12768882070864e-05
0.01953125,w,-0.0006681946568639571
0.0390625,w,-0.00022497320116354952
0.078125,w,0.00012101257769982878
0.15625,w,-6.30498619130222e-05
0.3125,w,6.109005976042306e-05
0.625,w,-6.06973167049599e-05
1.25,w,-2.5244933417637533e-05
2.5,w,-5.111469665376663e-06
5.0,w,-1.9343570004607757e-06
10.0,w,-1.9557145662949444e-06
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,393.8244668272993
0.000152587890625,co2,-2.9714878317785596
0.00030517578125,co2,0.5296082088756524
0.0006103515625,co2,0.17323871371326302
0.001220703125,co2,0.15625619035617333
0.00244140625,co2,0.08921453140628267
0.0048828125,co2,-0.024309088617357713
0.009765625,co2,-0.03234462698722464
0.01953125,co2,0.0009545383861342162
0.0390625,co2,0.0021178580699703258
0.078125,co2,0.002181359736746693
0.15625,co2,0.0016459126043353986
0.3125,co2,-0.00026753613963277585
0.625,co2,-0.00037867789728179526
1.25,co2,1.9218082685589675e-06
2.5,co2,4.231659992014775e-06
5.0,co2,3.7717434219094653e-06
10.0,co2,-1.0956049456028458e-06
7.62939453125e-05,co2_qc,0.9998888888888889
0.000152587890625,co2_qc,0.9998888888888889
0.00030517578125,co2_qc,0.9998888888888889
0.0006103515625,co2_qc,0.9998888888888889
0.001220703125,co2_qc,0.9998888888888889
0.00244140625,co2_qc,0.9998888888888889
0.0048828125,co2_qc,0.9998888888888889
0.009765625,co2_qc,0.9998888888888889
0.01953125,co2_qc,0.9998888888888889
0.0390625,co2_qc,0.9998888888888889
0.078125,co2_qc,0.9998888888888889
0.15625,co2_qc,0.9998888888888889
0.3125,co2_qc,0.9998888888888889
0.625,co2_qc,0.9998888888888889
1.25,co2_qc,0.9998888888888889
2.5,co2_qc,0.9998888888888889
5.0,co2_qc,0.9998888888888889
10.0,co2_qc,0.9998888888888889
7.62939453125e-05,h2o,10.874641690268925
0.000152587890625,h2o,0.30580564270900606
0.00030517578125,h2o,-0.005425196456568784
0.0006103515625,h2o,-0.026431700417840175
0.001220703125,h2o,-0.005716847158891498
0.00244140625,h2o,-0.017018229529342815
0.0048828125,h2o,0.006844993530476097
0.009765625,h2o,0.007316922563752381
0.01953125,h2o,-1.3177911840891299e-05
0.0390625,h2o,-0.0006621625763116373
0.078125,h2o,-0.0007357076156818581
0.15625,h2o,-0.0004321697809614687
0.3125,h2o,6.684737004763327e-05
0.625,h2o,6.630423657646482e-05
1.25,h2o,-5.532476772393068e-06
2.5,h2o,-3.885734256322211e-07
5.0,h2o,-4.8667173204911915e-08
10.0,h2o,8.70778544388335e-09
7.62939453125e-05,h2o_qc,0.9996111111111111
0.000152587890625,h2o_qc,0.9996111111111111
