wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 17:00:00
TIMESTAMP_END = 2022-05-14 17:29:59.950000
N: 648000
TIME_BUFFER (applied both in front and after) [min] = 1215.0
mother_wavelet -> dwt ~
acquisition_frequency [Hz] = 20.0
averaging_interval = 30min
value -> wavelet_reconstructed or quality control/statistics
natural_frequency -> The upper frequency of the frequency band which the data is accounted to
natural_frequency,variable,value
7.62939453125e-05,w,0.0012133890313422648
0.000152587890625,w,-0.0026680155740105133
0.00030517578125,w,-0.0016107705572217638
0.0006103515625,w,0.004111133257721474
0.001220703125,w,-0.0004966928591605455
0.00244140625,w,-0.0008626686734601067
0.0048828125,w,9.754292309455699e-05
0.009765625,w,4.37178825749231e-05
0.01953125,w,0.00015573318075266305
0.0390625,w,5.52361744533536e-05
0.078125,w,-9.044430248524569e-05
0.15625,w,2.9749307560650578e-05
0.3125,w,-4.829950971562403e-06
0.625,w,2.103086649032343e-05
1.25,w,-5.578300516300157e-07
2.5,w,2.3933254195422874e-06
5.0,w,1.7095078548238018e-06
10.0,w,5.040321739347922e-07
7.62939453125e-05,w_qc,1.0
0.000152587890625,w_qc,1.0
0.00030517578125,w_qc,1.0
0.0006103515625,w_qc,1.0
0.001220703125,w_qc,1.0
0.00244140625,w_qc,1.0
0.0048828125,w_qc,1.0
0.009765625,w_qc,1.0
0.01953125,w_qc,1.0
0.0390625,w_qc,1.0
0.078125,w_qc,1.0
0.15625,w_qc,1.0
0.3125,w_qc,1.0
0.625,w_qc,1.0
1.25,w_qc,1.0
2.5,w_qc,1.0
5.0,w_qc,1.0
10.0,w_qc,1.0
7.62939453125e-05,co2,399.9641857452252
0.000152587890625,co2,-1.3354755315234772
0.00030517578125,co2,-0.6372182413335098
0.0006103515625,co2,-0.6527920452483927
0.001220703125,co2,-0.2877895445788786
0.00244140625,co2,0.10410337627116775
0.0048828125,co2,-0.04828306887948159
0.009765625,co2,-0.023753673309067577
0.01953125,co2,-0.014934899872741252
0.0390625,co2,-0.008432008380261384
0.078125,co2,-0.00305212322594546
0.15625,co2,-0.0030197800180129237
0.3125,co2,0.00011514933320367515
0.625,co2,0.0004393020262482503
1.25,co2,-9.700765008151045e-06
2.5,co2,-7.839434145700175e-06
5.0,co2,4.535220385779855e-06
10.0,co2,-7.170384461095991e-07
7.62939453125e-05,co2_qc,0.9997777777777778
0.000152587890625,co2_qc,0.9997777777777778
0.00030517578125,co2_qc,0.9997777777777778
0.0006103515625,co2_qc,0.9997777777777778
0.001220703125,co2_qc,0.9997777777777778
0.00244140625,co2_qc,0.9997777777777778
0.0048828125,co2_qc,0.9997777777777778
