TIMESTAMP,NEE,GPP,Reco
2022-05-14 00:00:00,0.1125040020666059,-0.058604530120316106,0.171108532186922
2022-05-14 00:30:00,0.0380261261404564,-0.043253945247154,0.0812800713876104
2022-05-14 01:00:00,0.0020773776830302,-0.0026253170660170003,0.0047026947490472005
2022-05-14 01:30:00,0.0032961372541242,-0.0046876688240287,0.0079838060781529
2022-05-14 02:00:00,3.458918774887352e-05,-0.00145001006885035,0.0014845992565992235
2022-05-14 02:30:00,0.0271827972783935,-0.0407528347200303,0.0679356319984238
2022-05-14 03:00:00,0.1111143548271314,-0.06843319216434375,0.17954754699147515
2022-05-14 03:30:00,0.0115341862769099,-0.05908447404890835,0.07061866032581825
2022-05-14 04:00:00,0.0352570199049087,-0.0497737437090037,0.0850307636139124
2022-05-14 04:30:00,-0.0025708550050353,-0.031903073644663854,0.029332218639628555
2022-05-14 05:00:00,-0.045235592197561,-0.07888215766117429,0.03364656546361329
2022-05-14 05:30:00,-0.0002066140918464,-0.01016935064847805,0.00996273655663165
2022-05-14 06:00:00,-0.0280173863964844,-0.02974765279033105,0.0017302663938466509
2022-05-14 06:30:00,-0.0943006635443367,-0.19799661854190315,0.10369595499756645
2022-05-14 07:00:00,-0.2590742054428191,-0.3167907759185973,0.05771657047577816
2022-05-14 07:30:00,-0.1230754608647393,-0.30240848362451855,0.17933302275977925
2022-05-14 08:00:00,-0.4090425397851238,-0.4783439377521648,0.06930139796704105
2022-05-14 08:30:00,-0.4633103216729977,-0.535175867598807,0.0718655459258093
2022-05-14 09:00:00,-0.4334934882174469,-0.5409929691887316,0.10749948097128476
2022-05-14 09:30:00,-0.5599969008708827,-0.6669275921065494,0.10693069123566667
2022-05-14 10:00:00,-0.6699307755976789,-0.7946583449350709,0.12472756933739204
2022-05-14 10:30:00,-0.5539409106501112,-0.7030720988232966,0.14913118817318538
2022-05-14 11:00:00,-0.5409777823523069,-0.6492772129411737,0.10829943058886682
2022-05-14 11:30:00,-0.5701127691075644,-0.6873840886028374,0.11727131949527303
2022-05-14 12:00:00,-0.6120795323278059,-0.7469760871115181,0.1348965547837122
2022-05-14 12:30:00,-0.53877409597651,-0.6725890603902193,0.13381496441370921
2022-05-14 13:00:00,-0.5009086447442337,-0.6316910293744621,0.1307823846302284
2022-05-14 13:30:00,-0.6352391099138953,-0.7639553467054929,0.1287162367915976
2022-05-14 14:00:00,-0.5779615717459132,-0.7144598954697434,0.1364983237238302
2022-05-14 14:30:00,-0.5211833122672638,-0.6501766504025447,0.1289933381352809
2022-05-14 15:00:00,-0.5406854875050079,-0.6683004182483139,0.127614930743306
2022-05-14 15:30:00,-0.537999979443168,-0.6636415308941993,0.12564155145103129
2022-05-14 16:00:00,-0.3833106418252471,-0.5522145756651381,0.168903933839891
2022-05-14 16:30:00,-0.384409516176819,-0.5221099728156433,0.1377004566388243
2022-05-14 17:00:00,-0.3840459356961833,-0.5093380040070238,0.1252920683108405
2022-05-14 17:30:00,-0.3669480829904891,-0.46356118984242867,0.09661310685193958
2022-05-14 18:00:00,-0.2503902009565648,-0.3469944553606696,0.0966042544041048
2022-05-14 18:30:00,-0.2313839524895836,-0.31927651813240376,0.08789256564282016
2022-05-14 19:00:00,-0.1568387918961678,-0.21414349552007247,0.05730470362390466
2022-05-14 19:30:00,-0.0437462537108144,-0.07704340262423175,0.03329714891341735
2022-05-14 20:00:00,0.0497704287812595,-0.019499138958567502,0.06926956773982701
2022-05-14 20:30:00,0.0361820830720593,-0.0207174294199286,0.0568995124919879
2022-05-14 21:00:00,-0.0121166121254426,-0.0660396637686598,0.0539230516432172
2022-05-14 21:30:00,0.0390444762578975,-0.040890023601192746,0.07993449985909024
2022-05-14 22:00:00,0.0306726269231982,-0.02806062870585085,0.05873325562904905
2022-05-14 22:30:00,0.0011548201281316,-0.03846579886414345,0.03962061899227505
2022-05-14 23:00:00,-0.0216979255346462,-0.0532513602751202,0.03155343474047401
2022-05-14 23:30:00,0.0957689647167383,-0.04322136789417445,0.13899033261091276
2022-05-15 00:00:00,0.0042692961804485,-0.04529248931886865,0.049561785499317154
2022-05-15 00:30:00,0.0261358437194233,-0.026642213255979652,0.05277805697540296
2022-05-15 01:00:00,0.0994362256520513,-0.0604506877678192,0.1598869134198705
2022-05-15 01:30:00,0.0479810558263734,-0.03581387522134455,0.08379493104771796
2022-05-15 02:00:00,0.0473740137593716,-0.030001535833059298,0.0773755495924309
2022-05-15 02:30:00,0.0344634280573169,-0.0283994164214478,0.0628628444787647
