TIMESTAMP,co2,co2_qc,h2o,h2o_qc,w,w_qc,wco2,wco2+wh2o+,wco2+wh2o-,wco2-wh2o+,wco2-wh2o-,wh2o,co2_STA,h2o_STA,w_STA,wco2_STA,wco2+wh2o+_STA,wco2+wh2o-_STA,wco2-wh2o+_STA,wco2-wh2o-_STA,wh2o_STA,co2_OG,h2o_OG,w_OG,wco2_OG,wco2+wh2o+_OG,wco2+wh2o-_OG,wco2-wh2o+_OG,wco2-wh2o-_OG,wh2o_OG,co2_QAQC_STA,h2o_QAQC_STA,w_QAQC_STA,wco2_QAQC_STA,wco2+wh2o+_QAQC_STA,wco2+wh2o-_QAQC_STA,wco2-wh2o+_QAQC_STA,wco2-wh2o-_QAQC_STA,wh2o_QAQC_STA,co2_QAQC_OG,h2o_QAQC_OG,w_QAQC_OG,wco2_QAQC_OG,wco2+wh2o+_QAQC_OG,wco2+wh2o-_QAQC_OG,wco2-wh2o+_QAQC_OG,wco2-wh2o-_QAQC_OG,wh2o_QAQC_OG
2022-05-14 00:00:00,-0.17967155041386143,0.9998055555555556,0.00208698455672565,0.9996111111111112,0.0011457525870617513,1.0,0.11250400206660595,0.011447313788389452,0.16432040844394952,-0.053945340074899394,-0.009318380090833613,-0.0014445994530305766,81.37053711148803,100.57867541971648,173.15538953639512,1.4728050680809912,0.07435689528892492,3.6797363677976773,12.72763565430393,9.079560987295089,2.2801199168380735,3.7445109420523246,59.75929405752425,338.0166537222988,0.7940538164609583,5.229096346763262,0.4727991016091627,0.8937827794654036,0.0,1.1106869241140425,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14 00:30:00,0.04012533042336834,0.9998055555555556,-0.0005370043452174433,0.9996111111111112,-0.0014643338603782966,1.0,0.038026126140456404,0.0053465962326158505,0.0777040784319633,-0.0414833419701852,-0.0035412065539376417,-0.00017610076534491884,16.302369822763385,53.132646786641246,175.18338997343727,4.5678768379971615,3.61640548898039,7.314257445585142,9.979519737423221,0.0001703896131874016,1.528135351874735,188.36902638115345,802.0962777265788,119.5017186563745,10.579815469568137,1.409913773573607,0.28714623415251594,0.37358450222280415,117.66117868354853,73.99443740030274,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
2022-05-14 01:00:00,-0.0057494761451115746,0.9997777777777779,0.0011070208200137843,0.9997777777777779,6.015984262798864e-06,1.0,0.002077377683030221,0.0012263216172864564,0.003906920461394158,-0.0021947697363837275,-0.0008610946592666756,-3.525763994562107e-05,171.0518887699316,90.36878686794194,10470.33421443409,80.58344191744486,40.9842706412716,40.5234604235567,4.919174015345991,35.28431550060694,76.25343854153071,2427.0379384369207,24.77933769505657,36389.531623846146,196.0788358023553,5.02397392863586,23.02967640207679,0.7352766427565893,582.8071874261614,165.76691778525833,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0
2022-05-14 01:30:00,-0.04891392474804654,0.9997222222222218,0.0010658033094474969,0.9994999999999997,-0.00048058491669354675,1.0,0.0032961372541242795,0.0017974411475558997,0.006663454882317515,-0.004210578872308104,-0.0009541799034412174,-3.7224658332552346e-05,117.10535386480167,94.05262765597769,84.95370614730372,25.92660610301086,25.47237007744803,14.48626413621607,10.365219659971817,13.846892377516548,37.90675548663025,964.1148776143652,237.4414986975666,292.8100621220757,67.73477395283611,0.34562822857096664,44.66890709350899,17.669871816814133,0.6361407148950093,45.08364947774781,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
2022-05-14 02:00:00,0.30729888164191677,0.9997777777777779,-0.0035983235534123655,0.9996388888888889,0.0002555386398439606,1.0,3.458918774887352e-05,0.00033439722091556563,0.0012950723052100178,-0.0013051397993241053,-0.00028974053905255826,2.155856083532874e-06,96.71692505495662,96.04856632331109,113.7882346361124,1392.4820597769901,22.741617718535274,20.501307274092735,57.4379446996958,25.387144108816656,272.94730573638583,190.48400563700633,177.98270865826058,167.40603910579603,747.126017144523,1.9551447647039297,56.79238954751842,37.05470001869154,0.0,2.27324992058229,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
2022-05-14 02:30:00,0.09710989783366254,0.9998888888888885,0.000154623527275799,0.9996111111111112,0.0010565459729779804,1.0,0.027182797278393536,0.005726539890589015,0.06526018718117674,-0.03770173964668925,-0.006102190146682238,-0.0001852294505866272,15.702453455458723,744.9278910376271,22.25924789623324,27.696806041842553,0.7100603381858237,7.467021404837992,30.974220060911634,12.529941705787486,10.514686818376065,2238.704218530062,16030.890851504611,153.86121765465094,86.13856819132482,0.005361925601107152,0.009995556763166371,62.12323310104616,0.0026701553761123275,138.47237646933755,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0
2022-05-14 03:00:00,0.10655766483352265,0.9997777777777779,-0.00620405114374248,0.9996111111111112,0.001931679724741215,1.0,0.11111435482713146,0.007526919103384441,0.17543128827346205,-0.0650225317789724,-0.006821320770742718,-0.0010619320668946374,3.261109708686831,103.29420424584596,93.19388029462141,77.51251399132484,4.129494483539255,59.65265261389977,26.380964043686124,24.616055670016117,100.23850700575119,3380.2046640206277,592.9652983310465,34.39555719738222,19.237101256830584,0.0,12.537228415698937,0.9508559347595908,0.011284795899164307,17.9148809269431,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14 03:30:00,-0.08294003336767855,0.9997777777777779,0.003638194167194164,0.9996666666666666,0.0010839543866188262,1.0,0.011534186276909905,0.014388877076516924,0.06290103491523209,-0.052413222382978096,-0.013342503331860775,-8.859207674166934e-05,105.21244128552232,100.949232327011,58.966016271343626,2.7130636975028666,12.988176396614184,27.965192057996664,35.38901015338391,9.17112146139535,62.21294227836547,2.797307689613289,151.55491118062517,23.807707067202337,205.86031009602075,0.7453704037352289,37.586651005353595,0.010171606629719788,0.0,273.77993873160636,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0
2022-05-14 04:00:00,0.23630789161074084,0.9997777777777779,-0.0023777925831266577,0.9996111111111112,-0.00032860052330932634,1.0,0.03525701990490873,0.013801902445996113,0.0720466193669913,-0.04895598550992879,-0.0016355163981500438,5.253267093793175e-05,119.03290423283966,106.69559657676255,19.33958386563099,13.306507670465395,2.9699081487517125,25.434749148912406,28.131472708347566,16.585768944100852,94.02450792139327,720.0101932685744,763.0603588484289,269.74887234342464,146.85962589667812,1.060221160644778,71.91653406830885,0.3706078345169931,0.0,1383.2688016685288,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0
2022-05-14 04:30:00,-1.125558064475045,0.9996666666666666,0.013835229404930417,0.9996111111111112,-0.0003555058261287472,1.0,-0.002570855005035347,0.0019989885578224867,0.028233002370979383,-0.031003301355491085,-0.0017995445783457783,-2.704621600548927e-06,105.0508934240961,105.09578133634012,73.96022629375956,403.5134519143746,25.473386196931823,60.48448476395294,89.63305577213531,9.46547666886949,1369.1218010971377,42.884919475892296,5.437363411808086,369.5484214074221,2630.847099469761,1.901677068986682,239.64935737584403,0.016413718225370726,3.2158097998997492,32820.360159851574,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
